Description_preprocessed,Potential_Accident_Level
the worker cesar injured and milton receive the order of their immediate supervisor roman to carry out the assembly activity of a brace length 500 feet up weight 50 keg of the structure of the no belt 2 said collaborator lift the brace and approach it to the central point leaving one end on the ground and the other resting on the corner of the pedestal approximate height of 40 am after carrying out the planning of the work the injured person lift the end part that wa on the roof to turn and position it at assembly to this moment the other end fall generating a imprisonment of the finger of the left hand staff is taken to the medical center by their supervisor,IV
in the region of povoado vista martinopole ce the employee fabio de vera performed soil collection out in the field together with the auxiliary mantel da silva station dialysis center nascimento when around when rounding a fence his glove wa hooked to the wire and his shoulder projected forward causing a slight twist of the left shoulder the team traveled towards the city of ganja and the employee wa referred to the hospital for consultation the doctor did not diagnose a fracture prescribing remedy for local pain and ice pack by medical evaluation the employee can carry out his activity work,I
the operator when descending by ladder of sailor of 6 step fall to the floor going down of the above step falling on his face after hitting his head rescue worker used the bolt out of the belt a safety element that reduced the injuries from the blow he wa treated at the medical center with local surgeon referred to the clinic for reevaluation,IV
being approx my denis made the mesh placed in a spark plug with a ladder while trying to do a rope tie suddenly had an imbalance due to the thread and tool falling from the third pipe after a blow within its right knee and a wound of the forehead of the right hand later he wa evacuated to the post where he received first aid,II
the employee claims that on initiating their ft front loading activity while performing maximum emulsion reaction fire use there experienced a sensation of a single rock fragment from the ceiling reaching his left forearm,II
lower level 2900 dining room with collaborator finished washing table food is of dimension 52 am i 30 cm x 50 cm proceed to order them by pinking the joint of the right hand in inside corner and the aluminum tabula generating the lesion that employee at first time of the accident did not carry safety glove,I
during visual exchange of the shockbearing housing the employee used rear hand to hit the pipe about this stage of the activity the worker hit the stepladder that wa stood close coming to hand which could be projected onto the lower hand thumb which wa adjusted the piece,III
after the welder completed the welding method to reinforce the form and the deepening he lands on the distant structure at about 40 it at which point the welder hits on a fragment of rock of 5 am i h x ecm approx which generates that the structure flex and generates the rest in its worker,II
during the activity of chute of ore in hopper op the operator of the locomotive park his equipment under the hopper to fill the first car this is at this moment that when lifting wa blowing towards the release the load rain hot flow first appears with the presence of rock fragment the personnel carrying wa in the direction of the river get covered with mud,IV
at time when one mechanic performed the removal of a whole engine on a positive slope using a key and a terror at the time that the est welder tightened the key 12 times of weight when pulling the chain the eyeball that held the click fixed to roof of the shed is broken transversely causing the fall of the key hitting the helmet of the welder mechanic or cervical contractor the mirror wa used towards the activity a a head protection to stop the engine from falling,IV
the time when four employee cuts a metal sheet and i ekg towards the floor from a height of 20 am the assembly the doe should then remove a hand and his ring finger between the iron and loose earth causing a contusion on his distal finger the collaborator at the time of the event to use the maneuver glove,III
during the evolution of the metal form support screw touched the inside of well 2 when its bolt to the chain holder wa loosened the employee and a helper exerted force on the chain wrench when the bolt came to loosen immediately pressing each ring finger nearest their employee right hand onto the rope,III
at 1840 hour in moment 17 the claudio tipper operator smashed the nut of the rear tire on the right side of his vehicle using a torque wrench and brake tube a cord extension to generate greater force of torque which wa mr wilder held him at his back thigh a contusion in the palm of his right hand a the extension making his partner slip from his hand,II
when entering a soil soda is open to place in dam by make the suction at this angle there wa steam formation striking the employee in position right from left calf,II
during the activity involved exploration of the slope of the same pit ii the employee ran the sledgehammer on the slope in installation the power lifeline it touched his right leg as a slight exhortation,II
upon performing the standard rb10 equipment hammer repair the employee try to load that nail with the support of a pound rope at a moment upon receiving the service the brace or bolt cause a splinter to become released inside and impacting on the lower left limb causing metal embedding in it the collaborator did not notice immediately,III
employee report indicates he performed an attack during the area of park ustulacion under the coordination of firefighters since he wa landed by bullets from left ustulado from irritation in the eye region,II
on december 13 cold steel coupling gun hose of the reactor pressure pump bap wa letting me read the register of the cooling tower g2172 carrying out the complete procedure they turn on i bap to start with the start test at that will the hose come off the gun and hit my emerson who wa holding our gun,II
employee report that whilst returning another anode to the easel the even bumped into some leg with the chair trying to swing and fracture his left leg causing bruise,III
happened during the success of the bolter given the collaborator us a hand hammer to being able to remove a pillar in the chain of advance the drilling machine in it that hit with the side of the chain the partner hit the structure off the beam diverting the path of one hammer causing it to strike his lower hand,IV
the maid before walking in some pool area fell and fell next for the bathroom storage room i,II
in circumstance that the operator performed the return of an inch italic pipe against being imprisoned against the bottom of top railing of the truck instant that push pulled pipe with the right hand this return to it carrying position hitting the two finger of an employee causing a bruise,III
when performing rapid movement of pistol bar to make room and work on calibrated gun chuquillanqui push the bar using both hand turning it forward at that its imprisoned the middle finger of the left pressing against the other bar that flies ahead,IV
employee report suspected he performed soldering activity when patients were hit in the side region by rope or wa fallen from a thermal insulation causing irritation,II
at the end of event unleashing of saturated material on the talus crest of bank 4318 long rugged taut rope to leave the work area tension on which moment loose material from the top of the slope crumbles height of am standing stool of weight projecting a fragment 6cmx2cmx1cm kg which rub the right cheek causing the injury at same time of the event the area wa isolated and the collaborator receives all the epps witness to the event,IV
the level 4150 geology surface master mine to further repair water leakage from a inch diameter metal distributor make a circuit of a rim 3 strip of ecm wide i 100cm long making using a cutter drill partner stretch the camera when cut with force the edge when the cutter make contact at the index fingers of the left wrist causing a superficial cut at the time of the event the worker wa wearing bos glove,III
my marcel withdrew foam from the ajax oven underneath the metal spoon then insert it into this foam waste container at that moment splash of slag residue impacting the wall and into the surface burn the lips felt wearing a dirt mask,II
the report that when attempts to operate one of the plate on the control system of the ustulador dough the ith finger of the right hand wa points across the tool wrench with extension and with overflow flange of another ustulador oven located behind the performer,IV
on 1340 hour my hidalgo team to get on the hood had to remove the fan stand from their unstable reel... when driving out frontally at at height of 298m,V
being approximately alpha operator my ronald wa heading to mine when he has to stop the equipment to accommodate the person left after without the support at the wheelchair catching his fifth finger of the one hand with the point grid from being,IV
at 1340 meters my jose observed the erasing of the history of section 30 by jumping on some machine that alizado built of concrete this morning abruptly imprisoning his left hand between the command of the equipment and the support structure causing an attraction in the back of the left hand,II
to the volvo workshop at the time on explosion steel plate thickness 1 in all the installation of the mta scoop system with oxicorte equipment the injured feel a discomfort in both jaws at the start of the accident the collaborator made use of his full pep and the cutting iron pole did not make full adjustment for the presence of the respirator,IV
during intensive mechanized support activity in the level plane and when near the support mesh on the platform of horizontal lift equipment the observer with a stumble feel a pain in both heel behind the bare foot,III
before a preparation of all scaffolding process an employee wa touched the piece to the designated place where he slid his finger pinched between the metal piece that were now moved,I
when entering the change of support on rear vertical line i 6 40357 zinc two mechanic raised a hand in i 4 i 27 i and 45 keg one at each end and being about the height of the truck body knee slip from his hand causing further injury described,IV
at the deluminator stop untimely then the operator lower and lock the machine to verify the failure a locking of metal sheet between metal basket and the basket the operator needs to arrange the sheet in where when pulling the paper this one cut the palm of the right hand with the edge of this sheet is referred to the medical device for attention,III
employee performed withdrawal of the failure in the engine control drawer of the to 14 immediately after the check of exchange of fuse it closed the door of the locomotive and energized the employee at this moment when arc wa opened reaching in front and front of the employee forearm causing minor repair,IV
in circumstance and the worker hit the support of the drill beam and cylinder to align the end of the beam with the hole on the beam and place the bolt mechanical hammer slip and by striking the tool hand hit the edge of the beam causing hand injury at the time it they jump the employee had all the pie for this activity,III
at station 2995 access and scissor method performed the first job drilling the drill team install the joint when lifting the electrowelded seam of 12 square meter square i am weight 21 keg approximately to the team platform the assistant slip and feel a pain in the inner edge with the right knee,III
the auxiliary of general service i paulo e benfica with 5 month and 10 day continuous work was performing the activity hard soil collection during the movement of groundwater to the next point holding a lever it encountered a piece of sloping ground and with interlaced vegetation which caused the failure of the to the left the same side where the tool wa placed the rapid fall prevented the employee from leaning causing a shock of the elbow with the ground the employee continued the activity for following movement point of sample collection while he felt the arm bothering,IV
during the reduction activity in the tube any employee attached his tube via the walrus while when he hit the cane or the rod he untied each rod by having his finger,II
during the activity of settling of concrete block for the ventilation pipe wall in the basement of level 3590 in circumstance that the workers observed the setting of the building between concrete block a steel cone of 2 diameter wa had up its spike and when it hit and hit the top of the worker protector,IV
at level 3450 taco area three after completing the drilling drilling holes for loading the operator remove the bit from the jumbo ring and walk towards two machinery cabin from the crown of ring work a fragment from rock that pass through the cicada of the mesh area 3 and impact on it helmet and rebound hit the outside shoulder of the operator generating the described injury,III
upon approaching another furnace that she sees a process currently melting the in ingot must become struck by liquid metal projection,IV
after the slimming activity of the section 8 of player battery 1 the player began to place the waste inside the crucible with the aid of a metal felt protruding from the left unknown,IV
at 1505 hour long mom said wa carrying out this work of assembling the finish line for that new climb up the cat cage and at an approximate height to 25 cm he vanishes and fall hitting himself on the way being carried to the medical center for his attention,IV
when manipulating mud on the rusty drill truck the engineer tries to make space on moving a radiator at one moment the driver of an bus is imprisoned the little finger on the left foot against the bar,III
employee engaged in the removal of material from the floor of the section 2 below level 265 using shovel and placing this into the bucket was peak day some on this material fell into the pipe of the employee boot and the friction between the head and the calf caused another superficial injury to the leg,I
being on the 179th turn of no 27 ob 2 at the moment that mess and roger injured cleaned the with some of the radial mesh that wa passed its inclined column in any right gable moment that same fragment of steel of 5x5x2 am impacting both shoulder,IV
employee wa transiting to gas well when he came to slip suffering bad hand towards his wrong knee,III
thus and amidst all the activity of the soil the villagers milton ran into a branch and wa attacked an maribondos he wa bitten him in the head no pain swelling and and allergic activity continued with their activity,I
during the process of loading drill in the carmen pit of mach 3450 the operator position the basket of the anfo loader 186 equipment at its height of am from the floor to carry out the loading of the production plant at this moment new loading slab marked 14x07x02 i is released from the front of the barrel which is tilted or lodged inside the basket trapping the right leg on the collaborator,V
being 12 am at time of the train wa passing a tube pic pipe to the loader to uncover the fifth hole that wa obstructed by a piece of rock the pressure of the ethanol accidentally activates emergency air pumps causing the loading pipe that wa onto the floor to exit suddenly throwing peril in anfo excess in pipe hitting the cheekbone and eyelid of the right eye of the victim,III
the circumstance that the tipper positions of aircraft ee mesa moved of the no 3120 to nv 1 the operator see a congestion on equipment in front from his unit in the ramp 990 at a distance about 80 meter of access to the nv 3300 which is why he decides to get off the runway by turning off his vehicle when suddenly he slide off the second rung what is 070 i from the ground hitting the right forearm region against the fender and the same possible,III
at the moment of entering through the mouth of another through the employee move of that left side of the locomotive ltto locomotive of personnel transfer office was stationed at the entrance of the mouth without noticing the protruding abutment of said locomotive at the bottom hitting his right knee with the metal rope it should be noted that the operator continued his duty during the watch without checking what happened at the extraction supervisor upon noticing the discomfort of his partner in the knee immediately testing him outside nascar after reporting to the control center,III
during the entire mechanism of his pipe with electrical parts the rod placed on its pipe flange it twisted his right foot,III
on entering the mine interior the bodeguero is visible only in the litorina i entrance blocks of the convoy during it displacement the litorina derails and advance approximately 15 days it not known equipment operator observes this event and thus entering through the entrance gate paralyzes the displacement of the convoy the winemaker had his first epps on,IV
on 01022017 at when performing the next activity the collaborator just used a branch to assist in the opening of the collection of a he struck two employee on the ground he had a fragment of rock projected on his forehead causing a small cut the patient wa paralyzed for a few moment and it wa not necessary to continue to the bed the employee continued the experiment normally,II
employee in received drilling activity with the lma probe at day 1 gas and when positioning the needle stem came to place the left upper ring finger against the retraction knife with significant bleeding,III
on 05022017 at when performing geological mapping activity the geologist mantel da silva accompanied by the geologist luciano do santos and himself had to make the crossing to the other bank of a fence barbed wire known in the region a a goat it is a fence measuring from the base up to about ecm in height is made by rod interlaced horizontally and upwards made with little black wire barbed around 15 mm ecm i jumped on the fence and kicked on the fence i managed to sweep the vegetation with the left knee but even after while supporting the foot on the ground a stump of approximately 500 i ecm came to break the sole of the foot and because the perforation in the left foot at the height of the finger,II
the lever completed the alignment of the nut on the left side of the chute scraper of the no 92 when someone get confused and trip and grab the trigger guard with the railing hitting the lens generating his injury,II
in level 2900 number 5 the worker performed the chute ore from the hopper to the second car perceived a slip of rocks and mud through this hopper decided to leave the platform and when he wa already down the second rung moved the lever giving access the subsequent increase made a fragment of rock which then hit the back of the worker causing it to fall and hit the right forearm and left knee,V
being 1220 the approximately optimal circumstance for the administrative stomach wa arranged to press the guillotine of the right palm towards the foot of the table to make cut of enmicadas page when trying to raise the elbow the middle finger of the right hand it rub against the edge above that guillotine blade causing the cut in the yolk of the third finger in the right hand,IV
during the preparation for the office cleaning activity every employee made use of his authorization pad if had contact from the stick used to trigger him signaling board,II
besides the activity for packaging the cylindrical piece on her easel the employee took his boy to the designated place where he had his face pressed onto the metal plates that would normally moved,I
the injured collaborator said one of his colleague wanted to move a rim over a scoop tire for which using their own grip they threw his rim to the rear to make it roll and in no instant their eyelash slapped the fifth finger of left affected hand against the ring producing the injury,III
when walking the operator daniel was cleaning accessory under the mobile channel of line 01 from which he supported his injured hand on running line that wa in motion at that moment the crushing of the and breaking of lower left hand occurs the injury occurs the collaborator is tended to by medical for care,III
the bar was where the worker wa cleaning with the use a an absorbent rubber brushes residue from the right edge of his atlas axs186 compressor with the bonnet rag and in functioning the rag fall out the compressor and in another attempt to remove it it is hooked on the fan propeller pulling the worker left hand toward the roller causing the injury,V
performing carpentry work the killer hit the nail toe by the left hand with his hammer blade he held with his left hand causing a bruise at the height of the nail the evaluation report came out at the medical center of the unit the final diagnosis being contusion about the finger,I
while washing concrete mount polypropylene truck the employee cut rear panel from the truck and positioned everything in by pressing the finger between the cab and the concrete 。,III
during this maintenance of the peristaltic pump 02bp0166 to change the internal hose the rupture tubing of the air pump also ruptured after it started to be designing solution heated in young patient reaching their left eye causing irritation in the suit,IV
during the maintenance of water peristaltic pump 02bp0166 to change the internal system the rupture tubing of the reserve pump 02bp0167 wa disrupted after tank started gonna operate into solution and while potential employee reaching out left forearm through a burn,IV
in factory no 3370 ex 212 south korea an mechanic opens a back bolt of the el vardan protector of the dumper 01 the protector feels released and puts the first finger onto the left hand against the grip of the hydraulic steering cylinder position 2,V
on to at when performing the magnetometric using gas the singer antonio broke the back of the field hat on a branch that wa brushed by maribondos he wa bitten behind both nose and another on the shoulder but they continued his progress because he felt no pain or swelling,I
by working at the office of amani lilian prepares to store it in the warehouse to go to some place it come out of the store when going down the first step it bends so diagonally so it pushes the left foot on the edge of the second step causing the other they bend left inward it stabilizes quickly avoiding falling from the ground,II
the moment of movement the bolt of the chuck is rotation with vid 01 in the instant that is made hit below the impact of plus a base of this support bolt a strike off the metal structure is recorded impacting the face of the mechanic freddy the described injury,III
once the cycle of water pumping pipe ha been completed the person involved involuntarily raise his brow a white hand or glove full of paint and also clean himself he make use of a dry industrial cloth and smooth and rub his face for a period of time from 30 to 40 second continuously until finally the paint on the face is cleaned this friction generates the described injury,III
with the conclusion of the unloading of ore with the amp819 plate tipper in the pit basin the driver notice that a stretch of support bar is stuck in the hopper hatch then the driver gets off his equipment with the hopper lifted to remove with open hand this mesh when generating every fine particle of rock fall and most of them is impregnated in the eye of the injured at the time for the rush the injured person used his measuring glass but did not have any surcharge,IV
my walter wa slid his tool down the hopper of one atlas truck that wa parked on the cruise 320 of level 1850 from then the mining operation van arrived driven by engineer parked behind the truck of miners to approximately 3 meter and without having opened the safety block went to request the data of the drilling later the assistant of the section 04 opened the gate dropping the bit into the hopper of the mine truck and then the vehicle he strode forward pinning the mechanic right pulled,IV
during the transport the piece for wood with the aid of a wheelbarrow the employee felt intense tremor in her right and at that moment stopped the activity removed the cane and when shaking the employee noticed that it wa had small ।,III
during the mining cycle at tunnel chimney 410 before working with the iron work to anchor the lane of the animal pit the collaborator squat to pick up a manual tool that is leaving the bottom and is at this moment before this jackleg team let it position and project towards the back of the collaborator generating the injury,IV
in their support process in circumstance then their teacher performs the last cut in this transverse length of mesh mesh the tool generates a plane towards the operator and hit the face as the described term,III
on 02252017 at 1 when assisting with gas in the magnetometric collaborator gilvanio bumped the top of as peaked hat on a branch and wa attacked by maribondos the moth went towards his eye but due to the use of sunglass the attack in that region wa prevented the insect moved to the side of the bush getting caught between the ear and the back of the field accidentally caused the helper get two bite behind the ear gilvanio is allergic to marimbondos bite soon the activity wa immediately afterwards we drove to the car where the accident took his medicine antiallergic already used in other situation out of work indicated by another doctor to avoid intensive interrogation marcel responsible for the activity wa also on the field in the mapping activity wa called on the radio immediately the assistant no good but wa taken to the emergency of the hospital of lavrans do sul where he consulted the doctor took antiallergic and wa released around 1520,I
in time would the staff of the first company be heading towards the 447 pique to support shotcrete casting job one of the electrician doe not identify a lane and water in the bus so his right leg enters with part of 08 street there causing the injury the service of the litorina wa paralyzed for after entrance of this personnel,III
the employee wa descending platform elevator with inspection of the milling cyclone can give access to the floor behind the mill 10 of period 28 when the floor gave way and it dropped from a height of where 1 meter and 70 meter there is material ore below the platform about the height of the fall impact,IV
inside the area of lloclla 50 meter from the substation position 4 under position that male worker wa stand and pick up the rope from the floor several fragment of rock rolled down the slope of the hill one of the 5 a fragment of boulders approximately impact the arm of the worker producing the aforementioned injury,IV
when performing training activity on the area near the 042tc06 tower area employee wa handling a block of triangular granite rock measuring i ecm i i ecm x j ecm during the movement he lost his balance by falling with heavy rock from the thumb against his left finger injuring him,IV
while carrying out another brick chopping activity in order to obtain the support of the bus bar in section 70 a shot was flung hitting the assistant right arm that grows one meter away from the work area provoking them a wound in the arm wa treated at the training center and returned to that usual duty,I
on 020317 during the soil sampling in the cave of sta the employee rafael la vanilla da silva were attacked by a bee test team rushed away from the place after the employee rafael took 4 bite one on the chin one on the chest once on the neck and one on the hand over the glove the employee took 4 bite again in his hand off his glove and the other in the head and the employee danillo took 2 bite in the left arm over his uniform at first no one sketched allergy just swelling at the sting site the activity wa stopped to evaluate the site after verifying only one test had remained in the line he left the site,I
was employee was wa hitchhiking on a cop 403 truck equipment he crossed the central anterior ring the track and say the key of his wheel switch with another operator who wa stopped that the opposite direction upon returning to the truck it wa landed in the arm left by the loader tire that wa traveling along the road and passed the cep403 on the right,V
12 approx since the visit my duval laboratory is made to change and remove the spores from the pulp sample to the plant courier he slipped and fell into the ground supporting himself with the right hand generating the lesion with,III
on 08032017 at when performing mag 2 the employee mario da silva when moving in the acquisition line came across about small drainage approximately ecm wide with small gap a he traversed the drainage the employee rested his right foot on the ravine that came to rest causing the lower ankle to twist soon after the twisting the activity were terminated and the employee wa taken towards the local hospital where a xray wa taken and an mri made by the physician no serious injuries wa found only with small swelling and released to normal activity,I
at level 3970 n 100 when the fam 13 license plate went from level 3570 to surface when the driver has a locate his radio to answer a call nearby the chemical plant becomes distracted and crash his vehicle against the steep gable and the vehicle turn to the right side where this happens the copilot hit his right hand against a fragment of broken glass in the window on the right side of the vehicle,V
when the scoop arrives heading from rap 910 in the cutoff point of the cro 861 south to be unloaded it visualizes red truck that wa parked with the platform and the engine ignited inside the thrust where the scoop found accumulating dismount the bus stop to scoop and get off to tell the driver of the truck to leave and when he find no one he decides to go and go for the driver at the top of cro 861 south where but can not find it then he return to his scoop and at 15 to 20 meter visualizes the light of a lamp shining in the direction of his gable when approaching he find the deceased lying on the side of the scoop and decided to give immediate notice to the supervisory of the shift control center and emergency center,V
he wa performing maintenance on filter press in the filtration area gas when he touched the hose clamp in a turning motion he had contact with the top of the tip of one hand the screw that wa exposed causing him he cut onto his palm and wound to the ord quirodactilo at the top hand,III
in the zone 1 chamber of accumulation of aggregate when first worker made the cast of body towards the crown of the work at he detected discomfort and fogging of the full face then will never take it off and chooses to use only his safety protection for comfort to continue with the thrown by at suffers the projection of shotcrete rebound particle in the side eye,IV
team of the vos project performed soil collection on the fix target match 3 member when the team were moving from one collection point to another my fabio wa ahead of the team directly behind robson and marco da la near the collection point were surprised by a swarm of bee that wa inside a i play near the ground with no visibility in the wood and no making noise fabio wa in the stump line robson and manoel da silva were attacked by the bee this had a sting in his left arm over his uniform and manoel da silva had a prick in his lip a his screen ripped a he tangled through the branch during the escape,I
during inspection look for the solubilization activity of different substance in the microscope the maid when using the vial obtained nitric acid the same move from the loser causing projection in the region of its face and lower limb,IV
during the activity of changing conveyor belt job feeding at primary mill no 2 the mechanic entered the discharge pipe 075 ax 075 x 080 i to clean the well from which time the magnetic sampler 030 x 025 m that wa inside the chute wa activated trapping the mechanic at the height of its chest at the time of a accident the worker worked alone in the work area,V
being approximately 2057 instead of 03222017 during the exchange of cable between the z332 power cell locked cabinet and the z014 transformer there became a rushing noise followed by an oscillation of the electrical system at that moment the collaborator quench of the company essa had found one ground floor with his head inside an adjoining cell wooden cabinet door blocked where he wa not assigned to perform any work after having received an electric shock,V
when the mixer stage of the ecm incimmet sa moved by the positive image facing with direction to surface union concrete plant at the height of the 3630 before 440 the operator observes that untimely light and the engine go off the control control don't respond and the equipment start to reverse at 6 meter the operator jump out of the cabin left at 20 meter the team hit the right gable and turn to good side left protecting the area in the circumstance of the event that wa no presence of personnel and equipment that could have directly affected,V
the big wa doing his real trick when he stepped on that thorn his reaction wa to me retreat losing my balance and avoiding the magnetometer antenna a,I
employee report that he assisted ground maintenance activity in tower 6 in electrolysis when he stepped on the grip grid polymer with glass the floor moving causing it to fall the event took place in 3 stage 1 landing and fall of concrete floor in the span when receiving the effort 2 employee fall from stage 160m below two grp floor on the side of the gutter below the steps supporting the structure 3 employee impact into the lower level about 235m below the grp floor,IV
tv records says he wa supervising an activity to the middle of the ball when a scattering of hot humped dust from the upper floor reached his exposed neck region almost a seven degree burn,III
employee takes the task of hoisting bigwig containing well oxide and on doing it hoisting the panels invoked the lowvoltage electric shock when contacting the panel which attaching back handle of a zigzag on it,IV
harry walked toward the structure of post 10 when we came to step past the suffering twisting in its left into,III
on 04042017 around 13 day during the current sediment activity the bee barley took her bee sting in the neck the same wa using the tool but the bee entered deep bottom of the screen after receiving sting the team decided to leave the workplace due all the presence of white bee the collaborator made no reaction and returned to work normally,I
the industrial cleaning by cristian wa performing continuous cleaning activity of the gutter striking bottom side wall of the same to show the solid solution that got formed in that time said moment the operator hand slide and impact on the edge of the gutter causing a blow on the little finger to your left hand,II
at level 3790 formerly level 7 the hydraulic filling personnel performed the installation of 4 diameter hope pipe through the ventilation chimney with the help of steel yard crane that held and pushed the end of the pipe pipe 100 meter in length at that moment the pipe get stuck on the edge of the chimney causing the pipe to form an arc around this height where if injured worker wa who signal with the light of his lamp to the operator of the scooptram to stop and when supposed to retire with the house of fire the worker loses balance by light contact with the pipe causing fall at that same level,IV
and to perform sweeps of the floor of the fuel tank area he needed water and by pouring waterthinner on the floor the bucket slipped out by both hand causing the mixture projected over his burning shoulder and left chest causing redness and burning,II
during the start of the soil sampling task at the potion area with luis wa wa opening with a machete and wa struck by a wasp on the back of his right hand the same wa using at the site of an incident all the tools needed for activity the employee wa evaluated to the technician who found it to do a mild and localized swelling wound the employee reported saying he did not feel any pain and that he to continue the activity,I
in the tower i 6 of the old 50 ke it disabled and reenergized and 90 dismantled located in the country capital paso the last profile of a base of the tower previously disassembled were cut using offuel equipment at the proingcom security supervisor and the employee who worked on the outside building the fenced area supervising the activity indicate the stoppage of activity and evacuation to the refuge due to the orange alert indicated on the detector of storm during the safety of the last 02 employee who were inside the fenced area a loud sound wa heard provoking a fright which caused the staff to throw themselves to the floor inside the area then proceeded to leave the work area at his own mean through the ladder where the loud sound would correspond to an electrical discharge in the cable guard that pass over to old tower,IV
in tower i 6 of the old 50 ke it disabled and reenergized and 90 disassembled located in the city new paso the presence of the last profile in the base of the tower 360 disassembled wa carried out using offuel equipment at the safety supervisor of proingcom and the foreman who were within the external part to the fenced area supervising of activity indicate the paralysis of activity and evacuation to the refuge due to the storm alert indicated on the detector of storm during the evacuation of the last 02 employee who were inside the fenced areas a loud sound wa heard provoking a scare which caused the staff to throw themselves to the floor within the area therefore proceeded to leave the work area by their own mean through the staircase apparently the loud sound would correspond to an electrical discharge in the cable guard that pass over the old tower,IV
inside front end during the new activity the employee turned off its concrete box when rolling the handle would make the return of the equipment warehouse the same at rear tip of the mandate in above inferior lip causing hematoma,II
during the marking of every management point the supervision and his breeder enter other work to carry out that ventilation inspection for which the surveying work stop to look on the fan and proceed with the air flow measurement when the fan is turned on due to pressure it break the fastening point of the toe in the sleeve come to sharp left generating a chicoteo from gable to gable product of the chicoteo a fragment of the aggregate of the secrete is projected on the feet of the injured person producing the injury,II
during the execution of the service of opening of pricked for the future work of ip around 1530 the employee pedro second in the line of the equipment wa stung by a wasp outside the lower portion of the neck the beetle being of small age wa not seen by the employee in the bite causing the employee shock against the insect that were manifested the employee used all the pipe required for the activity to be developed the bite occurred over to collar of their shirt and over and face shield the technician responsible for performing the work evaluated the sting it together with the injured employee found that because with wa a localized swelling such that there was no allergy there would be no need to paralyze the activity which it followed normally,I
in moment that my william puts out the inspection of the cut of the hill 781 level 1850 oba so that a loading platform could have cleared in instant that observed the drill positive radial one and were covered and shotcreteados he hears a noise from the upper part of the pit detachment of bank at the center of the pit to make mr william go back to their work but his metatarsal boot make contact with a rock that wa s the floor which cause michael to lose balance and stumble on the gable,III
on 04192017 the employee de lima da silva wa composing the team before opening of bite to survey of ip the team consisted of one mining technician and three assistant when wa was in the bite he touched her left foot on a stump of tuum that wa on forest ground along with dry leaf of vegetation near drainage when he felt the thorn piercing on his foot is told the mining technician what had happened and the teammate removed the thorn that pierced the top on the wood after removal of head spine the foot wa washed and it wa verified that there wa no other injury after the event the technician waxed the activity and returned to the village of porangatu go it wa not necessary to take the employee to the health unit,IV
approx to victor at the move he made with visual broadcast of scaffolding suffered a slight blow to then top of their right ear with the metallic grind of the walls of the lift chain,II
during the beginning of the soil sampling task in spray potion area around pablo wa moving on towards bite and wa bitten by a right elbow wasp over to sleeve uniform he wa stood at the time of the incident all the pie needed for the piercing was employee wa evaluated by the team who found it to be a mild injury with localized swelling the employee reported that he did indeed feel any pain and that he could join the training,I
activity front sanitary slaughter a choco with smaller local underground mine workers 350 air purification upper aka the operator performed front sanitation when another big block from the roof hit the equipment the bomb victim wa promptly rescued by the unit emergency brigade and transported to the outpatient clinic where he received a first care and wa then transferred to the municipal at maracatu,V
performing the cleaning of material mineral that accumulates between the steel plate and the concrete base on which it rest a shown in the photograph steel plate thickness 12 in in 2002 to complete this cleaning the team decide to weld on the steel plate a curved eyelet type and at the other end a a fixed point and fastening a pin helical support in such a way to lift the plate with the pop of a key and remove all the accumulated material in the instant that they were pulling the chain of the tesla the injured one had his left hand resting on his concrete wall the line of wear product of air tension exerted by the tele the helical brackets break and the chain lash on the index finger generating the injury at the time of the accident the accident victim used commonly his instruments including his glove,IV
in 2016 that my refrain osario felix mina and has entered the interior of pocket 2 of level 2865 before 1205 it activated the compressed air gun that is installed in the lower part of the building activated a nozzle that communicates the air pressure within the internal part from the pocket projecting a violent flow clear air that blow the upper leg of the worker and generates a stun by the noise produced,V
his employee report mentioned he performed his routine activity in the foundry work when it wa necessary to fit the last finished ingot of one of the package at this point the chain burst and fractured the back of him right foot causing pain the spare footwear brought by the employee ha a steel toe and a metatarsal protector,II
the employee used a magnet to remove its sealing ring from the front tire of the wheel loader led but when the vehicle came to release at its fulcrum in the ring it press the left ring finger against the loader she will causing traumatism at which tip of a lead finger,III
the employee report that john performed his training activity of various area involving electrolysis so when trying in position one of the cathode sheet under the counter it hit his sleeve and caused a cut in the same and superficially in the left ।,II
employee wa moves her adjusting metallic shape using a needle and striking the shape the tether cable hit the spot projecting it hand against the metal structure of the shape causing a superficial tear in another ring bone within the right hand,II
in circumstance that i staff wa performing the rhyming of 40 he the 15 i c pipe always suspended approximately 5 am from the floor the assistant placed the stillson key no 36 on the hw pipe to raise the pipe at a height of 10 cm from the base of the unit holder which the operator operates the chuck slowly slide this back causing the pipe to slide causing on tip of the fourth finger of the assistant right hand to be caught between the stilson key and the base of the rod holder at the starting of the task the collaborator used all his epps,IV
each time mario or sergio performed the pump pipe piercing activity fz10314 then triggered the removal of the suction spool flange stuck there wa poured toilet pulp over it causing injury,V
