Description,Potential_Accident_Level
"in circumstances that two workers of the company incimmet fectuaban the loading of explosives using an equipment block, in a front of the work - sustained with part of the right superior part of the crown, a piece of rock of approx. 9. kg, ( 0. 25. 15mx0. 10m ), impacting on the ground and on the back of the helper which was in the basket suspended at 2. 2 m height, moments later a block of asphalt is detached from the wall of the gable approx. 1, 500 kg. ( 1. 20mx1. 10mx0. 40m ), which impacts the ampoloader team and failure of this block injures another operator of the ampoloader team who was standing on solid ground. the equipment anfoloader has a cabin with protection rops and fops, at the time of the accident both workers used helmets and safety boots. both suffered polyontusions and minor scoria fractures.",V
"the mechanic assistant after throwing the wooden blocks as parts of the stabilizer of herself first crane truck to the ground, when descending from this truck from the access ladder when arriving at her last step jumps towards the ground - height of 69cm - treading the edge of one and 5 wooden blocks cause an event to the left ankle.",IV
"whilst manually moving a glass tray for disposal for a help of another operator, each operator had his finger pressed directly between the floor and this cabinet causing injury.",IV
"during the discharge of waste, the operator would 2 remove a bag that was underneath the hose rolled, with this circumstance one and opposite ends of the hose moves in the direction of the face of the driver, projecting its liquid contained in bags and impacting it on the ear then throat of the face.",III
"in circumstances that time operator 176 was going from level 620 to level 640, and noticed that this hydraulic machine's inspection cover ( 18 "" x32 "" x3 / 8 "", 15 kg approx. ) was about to fall, after he stopped the equipment, activates each valve and climbs up that upper part of the screen and in moments that accommodated the cover it slides on its middle finger to the injury.",III
"and striking the ripper pin of the tractor pc - 4, the ripper support arm reacted by beating both second and third fingers of the right hand against the base of his ripper causing an injury instantly.",II
"the employee information states when he lowered your cloths in the purification, he arranged the cart so that it would not grab the pipe, placing your left palm through the cloths immediately pumping water.",II
"at the end during the loading of explosives on the work front, the field loader enters to verify the presence of the blasting accessories, when retiring from the top ( 1. 5 m ), he faces the sound of fragments of rock rolling through the support mesh, directs its movement towards the crown in a vertical form, at which point a small amount of rock ( 2x3x2cm ; 36gr ) passes through the openings of the mesh. sustaining it on the forehead. at the time of the event the collaborator removed his helmet and safety lens and their front was with support to support top and sacrifice mesh. the opening of the support mesh is 3 "" x 3 "".",II
"the employee, after performing this adjustment / tightening operation of one cutter blade with whichever he worked, was neglected, the key to slip, causing the front of the equipment into hit repeatedly, causing very blunt pressure on his medial forearm.",II
"approximately at 11 : 50 a. m. in circumstances that the messrs. de a truck crane ) and william de del cruz deliver the shipment of 03 blocks of silver plates with as approximate weight of 1800 kg. mr. william de the cross ( rigger ) climbs onto the cable to remove the sling, places both feet under the branches that supported the metal cable. at that moment the central piece of the stretcher is broken, as a result of which the two feet are imprisoned producing the injury.",IV
"during the placement of the last support and cloth of the work, and moments speaking from the bottom the same collaborator reached the electrowelded mesh to the operator of the tractor bolter positioned of the basket, when pressing on the cloth, one of the protruding ends of its mesh, crosses the leather glove causing an injury in his right eye.",III
the employee checked for acid leaks within the shipping area when matt was touched by lines of solution down his free foot.,IV
"the employee worked clearing the old zinc pump off waste fuel, when i landed on an platform and became unbalanced with a stick in his good foot.",IV
"the employee was transiting past the cadmium zone, by day 1440 manufacturing lithium sulphate, when acid solution splashed from his direction, onto either legs causing minor burns.",IV
"when carrying out the activity of cutting a mesh on the work table, the assistant sits his feet on one end on the board with the other end free, at the moment that the assistant bends himself to make the cut without the shear, the end free of the mesh returns by first hitting the partner above his safety mark.",II
"during the refurbishment work of the upper pipes ( 4 "" of tons ) with two workers, when the worker who secured the pipe with a parachute, standing on some basket of the ampoloader - raised to a height of 3. 85 m from the ground -, the pipe slipped of impacted his arm once, suffering an injury to the radius from the right wrist.",IV
"on circumstances that a wagon completely laden with ore entered to unload backwards in a curve in the upper part of via la laquia, the operator did not notice the unevenness in the lane ( approximately one meter ) approaching the track and overturning the truck on its right side. the operator traveled alone in this truck and made use of the safety belt, helmet and glasses at the site to the accident. during the unloading process, there were two squares that were 1 m from the accident site. the test of alcohotest or the operator was negative.",IV
"being approximately 5 : 45 pm. on the level. 3 cx 22 bp 745, in circumstances that the workers of the old rock performed the anchorage under the central pin for the anchoring of the drilling machine 1 xrd - 30 ( bob cat ) the assistant cristian ( injured ) made full adjustment on the nut of the central bolt of the stilson key no. 18 simultaneously jose from the adjustment panel made the movement of the rotation unit for the positioning of the clamp pin, at that moment the frame is slid by pressing the thumb of the assistant's left hand against the stilson key, about the described injury, due to the lack of securing the frame fixing bolts.",IV
"after having carried out the mechanized support with the scissor # 200, the heavy equipment operator picks up or water supply hose towards the perspective of the equipment operator, while he was walking around that cabin shoots the scissor on the way on a piece of rock - 10 cm high in. - which displaces by toe off right foot causing the injury described.",III
crossing over 14 : 25 h when supervising the line portion of the pom with roy rogers returning over the line d1304 hits this nose under the metal chute method of operation.,III
"the employee, performing the rams're unloading operation, threw iron bullet into his right temple and injured his ring eyebrow.",III
"after loading two blown holes from the previous blasting with the use of a telescopic saw, one master loader loaded new shaft detaching from the upper support point, about 3 cm. of height, a fragment of rock - 3cm x 3cm x 2 cm ; 54 gr - which is projected by the right end of the ladder hitting the master rider on the cheekbone and upper back producing the lesion described. the master shipper used the own glasses.",III
"during the plant stop scheduled for maintenance, as at the end of the change of area "" t "" fitting of the hdp pipe with a diameter of 14 "", the resident enters the work zone from either bottom to supervise the work, in that at the gate four workers - anchored with bars - that were in the upper part manipulating the accessory "" t "" to remove the flanges of their hdp pipe and pvc of 14 "" frame, suddenly the pvc pipe comes out of its support ( pipe with fine material iron tailings ( weight 700kg. ) ) and falls half a height of 2 meters to the floor, bounces and imprisons the resident engineer. only the injured worker was in the lower part or line of fire.",V
"parking the equipment dumper ° 18 in the maintenance lobby, the mechanics informed the operator to back off the equipment for washing, then the operator starts the reverse gear with the cab door fully open, after reaching the cargo area ( 8 meters behind ), brakes and the cabin door closes untimely and hits my face, causing me severe injury. in the scene was the mechanic at floor level in a safe situation.",III
"in circumstances that two workers of some abratech company were doing putty work inside water conditioning tank ( 5 meters deep and covered by platforms ) of metal gratings - grating - in the upper part ), two other employees of different hyt company carried out maneuvers transfer of a pump with the help of a manual tick - which worked hooked to metal beam h, dragging the pump on the metal gratings ( grating ), suddenly in pump is hooked with a metal grate ( grating ) and when trying to release it, the metal grid ( grating - 13. 45 kg. ( 60 cm x 92 cm ) ) falls inside the tank, hits a diagonal channel inside the tank but then impacts the right arm of one of the workers and rubs the helmet of the second worker that he was carrying. the area where the bomb starts being moved was marked with tape and did not require a lookout.",V
"when accessing the santa do novo area, in order to open the chop, miller was moving ahead of the team in order to open access for manetometer, but he proceeded across an area with a steep slope between gravel surface. in a certain place without access the employee slipped, coming with this to become dead. after that moment the staff that was in a left hand came to slip the right leg above the knee, causing a cut 3cm.",II
"when performing the sleeve removal procedure, when the hole was 600 meters deep, general da silva pressed only two side of the locking lever of the carriage, which together with the jack, holds the entire weight of the rods in the maneuver. as the locking position was not effective, the weight of the rods was only secured by the steel wire rope of the probe winch. at each moment that driller pedro released the brake of the winch, the inefficacy of the locking done only in one side of the chestnut and without movements of the monkey, caused the sliding of the rods. auxiliary was prepared for manual unlocking of the rods, holding the faucet key firmly against the probe tower as the composition shifted. as the shaft slid, his hands were shifted downward, causing his left hand to strike against the base of the probe tower structure, causing cuts into the 4th and 6th quirodactyl. employee was taken to the hospital where he went through medical care. wound was sutured with 16 stitches. same was removed for 10 days from his activities.",IV
"during the trip to the vehicle, at the base of the leg, the collaborator rhainer stepped on a object that he could not identify, thus intending to pierce the sole to the boot and causing a small hole in the sole of the left foot of the collaborator. the perforation was allegedly due to a stump in smoke, since the area covered by these collaborator, was also pasture grazed recently and near a residence.",I
"in the workshop level - 970 in box # 112, while two the mechanics manipulated a steel plate - 60cm x40cm x 2. 5cm ; 50 kg - to place it in the gutter of the station and be easier to remove as scaler # 142, the plate slides to restricts her right ring finger between the gable and the gable causing serious injury. the collaborator showed gloves at the time for the accident",II
"when it opens the suction valve of the 420 - bo - 01 acid pump, a cable through the same pump cannot apart from pressing off 5th finger of the employee's left hand against the tubing, trigger another fracture inside the distal phalanx. key",IV
"of worker carried out internal disassembly in three scaffolding bodies in his pulpomatic of the thickener d2251. the dismantling of the base of the scaffold, located approximately one meter high from the floor beneath the sump, the rivets of its anchor support of the platform were broken, causing the fall of the worker from impacting the right knee with the support while i am anchored in one of three horizontals of the scaffolding structure.",III
employee reports suggest when handling and air button pressed against 2nd right valve suffered further contusion.,III
"after parking a van next to a cluster of wooden sleepers and boards, the officer, on descending, stepped on a board in which his iron nail protruded 11 / 2 "" long, which he was initially identify as the board was submerged in a puddle of water. this accident caused a minor wound cut on top of one left foot. at the time of the accident the worker stopped wearing camping boots.",II
"during the maintenance of the locomotive in class 16 in the workshop of level - 1170, the construction supervisor pulling the locomotive chair backwards stumbles against the ventilation grille, falling on the roof of the locomotive and then to the floor at some workshop from a height 1. 17m generating the injury. of the time of the accident the employees used his safety helmet as chin strap.",IV
"once its rb machine is lifted ( weight 7 tn ) at 15 ° from the floor horizontally, the accidently proceeds to pull the rb machine with a key of 5 tons ( maximum cap ), to lay it on the floor, after advancing 70 cm horizontally, the anchor bolt ( pig tail type, 10 / 8 "" diameter ) at which the key was fastened, it breaks transversely, and with the pulling force, this hole is projected onto the injured person's left shoulder causing the injury. - the injured was 1. 50 meters at the key. - at the time of the incident, the injured was 5 meters away doing cutting and cleaning",IV
"when positioning the scissor bolter n ° 09 in the east of stope 175 ( 40 meters from the barn ), the operator and his assistant verify this the ventilation sleeve will obstruct external support of the left gable, so both decide to section a sleeve and pull it towards the main corridor ; the injured assistant decides to climb to the roof of the equipment cabin ( surface : 1. 5 square meters ) to carry out the reinstallation of the sectioned sleeve and, without noticing, he steps on empty and falls from the equipment from an height of 2. 50 meters. at the time of the accident, the operator collapsed on the scissor bolter platform, the equipment was positioned and unable to perform the maintenance and the assistant was wearing a safety helmet and chin strap.",IV
"during the cleaning of an 3 "" vertical trench using specialized hydrojet equipment ( high pressure hose ), the hose returned directly to obstruction on the pipe through residue, to the operator who was actuating hydraulic equipment within.",III
"when bypass 100 m level 1970 all the workers of insurance company incimet raul ( operator of bolter bolting team ) and rolando ( assistant ) were after installing the support with helical bolt, while pink team found a mesh overhanging the gable, so the teacher tells his assistant to stop the mesh and suddenly instant the assistant finished cutting he mesh, it suddenly rises hitting his face causing the injury described.",II
"until 2 : 40 am. approximately, luna - master loader of the company incimet was carrying out the loading activity of the front in the cruiser 771 of the second level ; 15 moments that was tying on pentacord at the crown and trying to reach very bottom on the left side, loses balance by wrong movement of the body and drops to the floor resulting in the accident.",III
"following moments that the worker - mechanic leaves the place of maintenance, the wire of his mining lamp is hooked with a drill hole ( 4. 0 kg ) on was called the pit table of the workshop, which fell 1. 1 by impacted his left foot causing a minor bruise. at the time of the accident two collaborator used his safety boots with steel restraints.",III
"in general store, while two store attendants removed the compartment a rubber mesh for material removal - 1. 8 m. x1. 2 m. x0. 4 h. ; 1 kg high weight - when lifted approx. 40 kilograms he push it against the edge of another mesh placed on the floor on a litter, this slightly imprisons the index finger of his right hand of one of the assistants causing a minor cutting wound. at the time of the accident the maintenance worker used leather gloves.",II
"employee reports that when attempting to manually ingot of zinco, like the rotary table of the l1 machine, hit from the left hand is the angle in head neck of the machine, by pressing the finger between the ingot on his head.",IV
"when moving a roll of electro - welded walls for 95 kg of explosives to place on the hopper of the truck, two operators pull the roll of mesh to bring it over the hopper of the truck under which stage the imprisonment of the left hand of one of several workers beneath the mesh and the body of the hopper equals the described injury. at the time of the accident, both operators were wearing pvc - type safety gloves.",III
"when performing cleaning with operators in block f 9970 at level 420, another operator was surprised by sudden rock causing displacement off the side via the gallery, reaching out right leg preventing him skipping work",V
"the workshop at the end of the welding work in the small bolter equipment, the welder proceeds to clean the inside of a metal stool, impregnated and thinner ( flammable liquid ) and with the aid of one hammer and screwdriver proceeds to kill the oxides, when hitting the table with the hammer produces a flash in another internal base in the stool, which results a slight burn in the right hand of the welder. - at the start of the accident, the welder only uses a laser on the left hand..",II
"being 12 : 20 time. approximately in nv 1680 ob5 cx 018, mr. cesar - operator of delivery services, in an instant that he was picking out the cat position one of the truck crane of plate acl 804, when raising with the right gun the lower part when the cat is indexed the index finger of the left gun, between the bar of the cylinder valve of the cat and at end of the turntable that was in the upper plate.",III
news employee reports that he placed the mechanical lance in the tank 1604 and correctly activated his manual air valve through projection that acid solution heated toward him reaching the bag to he left thigh.,IV
one young girl performed cleaning and when cleaning the floor of one living room pierced the finger with long fragment of glass.,II
"after discharging uranium chloride and working the hose, this employee worked next to the pump suction pump, which was turned up, receiving projection to the pump sensor, causing a seventh place burn.",III
"2001. jesus operator of the fire throwing team ( alpha n ° 18 ) was shooting shotcrete for the cx work. 001 nv. 1710 ob1. applying 0. 12 m3, he realizes that the additive did not come out in black mix, directing to lift the cover open the passage valve ( 25 cm x 10 cm of an inch of thickness approximately 15 kg ). verifying that the valve was open, release the lid and it hits to the third finger of his left hand against the base, causing the injury.",IV
"the officer performed a return of the hand at the entrance of his washing machine, was preparing to align a cathode ray pressed onto our right hand.",IV
"the injured worker begins the work of presenting the support mesh cloth on the floor, making an initial cut in the mesh of a section of 0. 4 m x 2. 0 m inside the ponchos, originating in the remaining mesh wicks ( tips where prongs ) protruding. when trying to deliver a second mesh cut, it is positioned at the edge of the remaining mesh clad wicks to prevent them from extending, at which point it tries take your shear and remove the right foot of the mesh of the mesh to roll up and insert a wick ( tip with poles ) through the old boot causing the injury. at least time of the accident the worker was wearing safety boots.",II
"in our ddh chamber near the concrete explomin, located at the level - 100 socorro ramp 334, when the worker - assistant driller - was dismantling the fifth drill rod ( nq - 3 meters of steel with a weight of 24 kg ), using a stilson hammer ( m. 18 ), at that moment the operator produces another rotation unit, the drill rod rotates by pressing the left arm of the worker against its base of the rod holder, causing an injury to the left hand. at the time of the collapse, the drilling assistant used rubber gloves",IV
"when carrying out the maneuver in increase the hq pipe line, the lieutenant wilder indicates the assistant gilton introduce the inner pipe to further drill, then assistant introduces the inner tube and places his hand in the box of the pipe, while the master without command, immediately moves the pipe over the assistant's hand and opens a chuck of the rotation unit, dropping the pipe, imprisoning the injured person's right hand after the injury.",IV
the employee reports from climbing the access ladder to the bell tower has the ustulation are encouraged by his stink of hot acid.,IV
"when performing geological magnetic activity, it was preferred to hammer a magnet in analysis, at the moment when the clerk held it, its pointed point slipped from the left quirodactyl of the right angle forcing a superficial cut.",I
"20 04 : 20 am. m. approximately, in the nv. 1880, cx - 781. mr. kevin helper of jumbo 55, touches the drill tube that was in the drilling machines, instants that breaks the chain of subjection on the table of the drilling machine, slide down it rubbing the index bone of the left hand, causing the shock.",IV
"being 11 : 30 am. approximately, in paragraph nv. 1940, 51 - 791. mr. francisco - operator of the scoop 18, observes a polyethylene pipe thrown on dark road, proceeding to lower his equipment and be thus found by lifting the pipe after the base of the right gable, from piece of rock that was suspended in the lectro - welded mesh, impacting on the individual's right leg, causing the injury.",III
"when planning inspection to evaluate activity being be carried out in the pump house for the ustulation steam station, it was hit by sulfuric clouds spills across a line just above the boiler house of the gas bath facility.",III
"engaged in trials to evaluate tests to be carried out in the power house of the central steam works, it were struck by sulfuric acid spills from a line located above the stack of thermal recovery oil pumps.",III
"the employee was pushing a drum in the air at the end of the operation, using the roller seal of a disk spun to the light of the data camera.",III
"for the die casting of the feeder ( pead geomembrane blanket weld procedure ) to blade and extruder, the stylet cut came in that direction bordering its left forearm, result in blunt lens injury.",II
"in the welding workshop art level 3620 ( metro - rail tunnel quinoa ), in it that the assistant raised a wooden strut - 3m long x 15 "" diameter - 20 kg of metal, to place it on the work table at 1. 30 m of height, treads another wooden strut placed on the glass losing the balance falling at the lowest level lying flat to a concrete wall causing a bruise on the left shoulder.",III
"4 april, 15, the collaborator goes to the medical center saying that he had an accident 3 days ago when he performed internal maintenance work from the heat exchangers, defined from a confined space and facing risk against burning with acid. without exploring the confined space, the victim removes the protective gloves without having passed through the emergency shower ; at that moment, skin contamination occurs with sulfates, generating the lesion.",II
"in moments that the truck for transport of personnel of the company mceisa plate ajg - 751, moved over the nv 3300 to surface, missing 50m to reach the mouth of the nv 3900, the gearbox does not respond when the driver stops the truck to inspect it along with maintenance personnel who at that time i was traveling in my truck. they raise the cabin to manually do the change in first and continue the trip, culminated this task the driver with the support of the maintenance personnel lower the cabin which due to tremendous weight falls hitting the driver between the cabin or the hopper of the truck. at normal time of the accident the employee is wearing his safety helmet to chin strap.",IV
"after completing the normal job on the backhoe parking roof for 12 hours, during which he used glass moon # 10, every employee feels a slight discomfort in the eyes, so he are transferred to the medical service for evaluation. during the accident the welder used facial nerve duct welding.",IV
"when an employee from milpo lima visited the facilities, when he was at level 2900, waiting for the personnel cage with go up on level 4070, drops of water fall from the car from a height of 2. 20 feet approximately, product of a slight filtration in the crown ( sustained with shotcrete ), a drop over the right mouth causing discomfort in the right front. according to the employee, at the time of the accident the lenses had been removed to strengthen them, this happened after the visit to and interior of the mine.",II
"at the el porvenir sub - workshop at level 4240, when loading a metal block ( approximately 100 kg ) with the support of a lifting system, three operators try to open the structure to anchor it on its foundation, at this moment the metallic structure slides in the direction of the injured worker's right knee, producing a slight right hand accretion between the head of the bolt and the base of his structure causing permanent injury. at the time of the accident the operators made use of their own gloves.",IV
"the employee was given carbon fiber pipe marking stunts including his helmet being cut by a tube, with a scalp wound by may the weight of the helmet's sheepskin.",III
"for the maintenance on an lx - 52 - 205b base, it was the projection of the pulp, cutting an upper leg of an employee.",III
"in time that the collaborator also performed the washing of his tabolas besides the traditional washing service, she suffers a feeling of dizziness and faintness causing high fall the same level and receiving a slight tear from the head.",I
"during the investigation saw the fuel tanker of level 3530 at level 2925 by the entry ramp ; when passing through level 3140 the operator feels that the right right tire skids and when neither operator performs a defensive maneuver third truck hits the left gable causing the injury described. at the time of the attack, the pilot and co - pilot were in a safety belt, their seat tape and helmet.",IV
"following field operations, to return to work after lunch, the employee of robert wellfield company slipped on the loose stones that were blocking the place. at another moment, at the intention of balancing, he tried hold onto a tree, falling under the right arm causing fracture at the distal side of the radius. the activity was paralyzed and the employee was referred through another hospital the paracatu where he underwent medical care.",IV
"towards 10 : 50 am. approximately, in 1990 workshop of mechanical maintenance ( surface ) m. orlando of boltec ) and his assistant mr. macedonio made the cut of the link to shorten the distance for the chain has hold the injection hose of resin, instant that the saw blade leaves its cutting position, affecting two second finger of each cutting hand with the crack.",III
"on the tests of the soft starter of the engine for belt 03 her collaborator igor moves around the site and since approximately 9 : 54 pm falls into a trench for electric lights, ( 2. 90m width ), the same as was then partially discovered.",III
"when checking voltage at the power outlet of the the device and trying to make if a connection was correct, when there was a small red arc at the power socket, or only slight burn in the right hand wrist. the protection system acted clockwise.",V
"the ground team coordinated by prospector with his assistants : da silva and wila 14 : 45 do. m., finding a prong opening on access and collect dna samples, auxiliar came across a thug tried to divert about 10 meters to the front of the place, but at the moment of the diversion he came across the marimbondo house in front of him, not giving time for any additional action since the thugs were already agitated, da silva 5 times : a sting in the head, another behind the neck and other 3 stings in the face. since all previous allergy tests, it was verified that had was no allergic reaction, washed the affected part and returned to normal activities.",I
"in the geological reconnaissance group, in the farm of mr. lazaro, the team composed of felipe antonio divino de morais, in normal activity encountered a ciliary forest, as they needed to enter the forest to verify the rock outcrop which was the front, the divine realized the opening of the end of machete. at that moment, took a bite from his neck. there were no more attacks, no allergic reaction, and continued work normally. with the work completed, leaving more forest for the human access, the divine assistant was grabbed by a snake which suffered a sting in the forehead. at that moment they moved away from the area. it was verified that there was no type of allergic reaction and returned with normal activities.",I
her clerk was peeling and suddenly a hose came across one that ended in his right arm because her left hand tearing his pvc cord caused a cut.,III
"about the way of removing the comb ( becker ), the tip of that material was broken which caused a fracture under the sympathetic nerve of the right hand",III
"in circumstances that the collaborator performed the cleaning of the ditch 3570, 0. 50 cm deep, removing the pipe of the "" explosive material with an estimated weight of 30 kg. together with its collaborators, when pushing the tube to drain the water, the collaborator is hit on the lower right side lip producing very slight blow to the lip. at every event of the crash, the collaborating had a safety harness, glasses and gloves.",II
"being 01 : 50 p. m. approximately, in the nv. 1800, by the tecnomin winery. 22. chagua - he left alone, cutting wires no. 16 with a grinder, where he had removed the protection guard from the frame of 4 inches in diameter and adapted a disk in a width of approximately 13 inches. originating traumatic amputation of two distal of the left hand",V
"at the field trip, on lt 01 from the lajes target, junior da costa official stepped on a wooden stump that was on the ground, approximately 5 cm, so pierced each boot wounding one sole of the working foot. at the time of the accident, the employee awoke using only the ppe required for the activity and had his hands free. the employee was taken to the airport, where he went through medical care, and finally released to return to his activities the next day of work.",II
"at level 2900, of the ore hauling activity via locomotive from the op2 to the bines, at times when the convoy are traveling through the hopper of the op1, the only motorist who was riding in the saddle on the pole is struck weakly by a split set this was suspended in the hdp pipeline in the gable the work at 1. 65 meters from the floor. at the time of the accident, the assistant was wearing all his safety equipment and was wearing a seatbelt. at the time as another accident the top set had accompanied the movement path of the convoy.",III
"the employee from works as an electrician in the institute of electrometallurgy, suffers contusion in the right leg when suffering nerve fracture at the height of step 1 of the wall with code ele - 81 - f ( abb furnace cat ladder ), immediately he is assigned to a collaborator to the medical service as help treated.",I
"at times with the workers : technician and mr. orlando of boltec 2 of cia. seems to pass the hand stacker by this sardinel, and technician pulled the hydraulic arm, while dr. was pushing from the nail of the equipment, when towards the station the rim is tied and the team turns about moving after the technician.",III
"in circumstances where one employee made the connection of the electric cable of the no. 3 jumbo, the operator felt discomfort upon the face touching off the hand while using the rubber glove, including deep superficial laceration ( small wound ) on each broken cheekbone.",I
"in phase iii of the concentrator plant, the training personnel carried out the removal of two belts from the flotation cell of pb cleaning ; at no moment the patients removed the belt he leans upon his left leg which faces towards the grating floor, leaving his foot between the two plates generating the lesion described. the work was carried out at the higher level only at the time of the accident, the staff had put on their safety equipment.",III
at approximately 6 : 30 s. m. on 08 / 06 / 16 the operator eustaquio falls down from the metal platform one gives access to tank d - 18 of the strong acid leaching stage and suffers wrist - fractures in the wrist left when leaning on the floor with his hand. the action was directed to the first tank of the strong calcium leaching door ( platform d - 2040 ) to verify smooth entry of spent to the taque.,IV
"project of discovery that carried out sediment collection of current in area south of mata target, in poor drainage of serra do garrote. team that was composed for 04 members of the wca company, being the s. r. s co, and jehovanio. they were moving from one collection point to another, inside a shallow drainage, they saw the bee carton, a reaction was to turn away from the box as well as possible to avoid the stings, they ran back 50 meters, looking for a safe area, to exit of radius of attack of the bees, but the s. s. and breno ), were attacked and consequently they suffered 02 stings, in the belly and jehovah in the hand, verified that there was no type of allergic reaction, returned with the normal activities.",I
"the employee reports that me was working a brushcutters near the stone when that blade of the blade collided with a piece of clothing as i pulled from his leg, causing injury to another left leg.",III
"once the mooring of the faneles in the detonating cord has been completed, the injured person proceeds to apply the detonating cord in the safety guide ( slow bar ) at a distance of 1. 0 centimeters from other top of the work. at that moment, to avoid mooring, a rock bank ( 30cm by 50cm x 15cm ; 67. 5 kg. ) the same front, from a height of 1. 60 meters, which falls to metal floor very close to the injured, disintegrates in several fragments, one of which ( 12cmx10cmx3cm, 2. 0 kg. ) slides between the fragments of rock and impacts with the left leg of the victim. at the time of the accident the operator wore his safety boots and was accompanied by a woman.",IV
"during the activity of construction of wall stopper with mortar blocks to improve safety in the intermediate zone ; in moments that the bricklayer assistant is preparing the complete the construction of the 3. 05m high wall, part of the wall - 12 blocks ; 1. 5 kg per block - fall towards his scaffold, as the mason assistant leaps towards an accumulation of sand located on one side to avoid being hit by the blocks, during the fall the injury described occurs. at that time for the accident the mason assistant jumps from its height of 1. 40 m from the floor of the work and used his personal safety equipment which reduced the impact of its fall.",IV
"the geologo and the auxiliary elismar arrived to evaluate geological points following the gps near some drainage. following the state highway that gives access to the aripuana area, they arrived and got out of the vehicles to see the point identified in the gps, then, when distancing himself about seven meters from the vehicle and the road, was surprised by four bites of thorns on his face and neck. quickly he hurried back near the vehicle, moving away from the place. the clerk was wearing a jacket or goggles, he still was seen wearing gloves, as he would not enter the general area. there was no allergic reaction.",I
"geologist and auxiliary ademir traveled to the field to evaluate geological points following the gps near some drainage. on the state highway that leads access to camp area, stopped and stepped out of the vehicle he see the point identified in the road, mario, when moving himself about five meters from the vehicle following the road, was surprised having two bites from thorns on his face. quickly he hurried back to the vehicle, moving away from the place. the intruder was wearing a girdle and goggles, he still was not wearing gloves, as he would not enter the forest area. there was no allergic reaction.",I
"the safety and technical moved from the field for inspection when, on the way and the field, paused together with the other two vehicles in order to know the drainage points to be checked, the officer at getting rid of the vehicle, was struck by a sting of a weed in his neck, quickly admitted to the vehicle and made radio conversation with many other security teams which distanced themselves from the place. the clerk was wearing leggings and glasses. there was no allergic reaction.",I
"then assistance geologist traveled to the field to evaluate geological points following the gps near some drainage. following the state highway that gives access the aripuana area, stopped and got out of him vehicle to see the point identified in the gps, ademir, distancing himself about five meters from the vehicle, accompanied by the geologist mario, was surprised by two bites of blows on his boots. quickly he hurried back inside the vehicle, moving away from the place. the clerk was wearing a girdle and goggles, he still was not wearing gloves, as he would not risk the forest alive. this was much allergic reaction.",I
"while traveling in the field was order to make his mapping, austrian geologist manoel who was accompanied by first prospector who stooped to deviate from any vegetation, at that time, received three whistling marks being them, two on the face and one on right neck. there was no allergic reaction and would resume normally after the event.",I
"when moving in a field to make geological mapping, the prospector marcos who was accompanied by the geologist then stooped to lick from the vegetation, at that location, noticing a large sting in a ring arm of one right hand. there was no allergic reaction and activities followed just after the event.",I
"after approximately 3 : 00 pm, the operator paulo ( operator of the filters ) informed the autoclave operator via radio that a leak on its side above the scruber. the autoclave iii feed was stopped by the control and officials georli and renato initiated the procedures for engaging the autoclave transfer valve for flash tqs. soon follow, there was a break in a chicken, projecting pulp hot and reaching three workers who were inside the room near the equipment.",V
"the operator of the scissor 187 leaves his equipment parked at level - 2995 acc 7 due to electrical problems, when the maintenance personnel arrives, the electrician climbs on in control platform of the equipment and performs the verification of the hydraulic system confirming mechanical problem ; then in coordination with the mechanic decide to perform the movements of the lifting apparatus, moments in which accidentally activates with the body the arm movement lever controlling the drill arm to move lever generating the right hand's atricion against the support of the pivot and generating the lesion described. at the time of the accident the electrician was alone on the control platform, while the mechanic was at ground level observing the pressure on the diesel system pressure gauge.",IV
"when the mechanical technician proceeded to perform the maintenance of motor supports of a tipper, murphy decided to bring a wooden block, for which he moved to start temporary storage of materials - located at 10 m. of the tipper - in circumstances in which he sought the cue ; the camera of a tire burst suddenly ( it was to the right and 2 m. of the involved ) ; that thunderous sound affected the right ear of the worker. the tire that exploded has 110 psi of pressure approximately, at the site of the event there were stacked 3 pneumatic, the second was the one that exploded ( presented cut - place where the energy was released ). the tire that was in the upper part was not projected. the engineers were left below the previous guard ( night shift ), the storage area does not have a roof. in the place of the event only the affected mechanic was located ( at 2m. ) or at a height of 70m. there were other workers. in the area 5 trucks were parked, none of them suffered damage to the glass.",III
"in level 2930 access siemag camera roof, at times when the piquero civil operator looked for a stilson key of 32 "" inside the metal tool box, raise the metal lid ( 1m x 9. 6m x 0. 7m ; 5 kg of glass ) with both hands, then push the lid backwards positioning your right hand across the base of the lid causing an incentration of one fifth finger between the lid and the structure of the box until reaching height of the flame. at the time of the accident, the employee wore pad gloves, which reduced the consequence of the injury.",III
"when handling a lever to move one chair, ancient man moved forward by making this vertical movement and shaking his chin.",II
"during the recording of rim position side of the jumbo ° 15, at moments that one mechanical technician with the support of the electrician disengaged the bolts, when loosening the fourth nut with the help of a lever ( metal tube 1 "" diameter, 1. 8m inches length and a weight of 1. 5 kg ), this bouncing effect returning then the initial position and towards the palm of the left hand the electrician face causing the injury. the employees at the time of the accident used their ppe's then leather gloves.",III
"in circumstances in which the operator of the door proceeded tae sit on his equipment, before closing the door he takes his right shoe off the handrail and places it close to the door hinge, which when locked traps hold of the user's middle finger. the worker at the wheel of so accident made use of leather safety boots.",IV
