Description_preprocessed,Potential_Accident_Level
the worker cesar injured and milton receive the order of their immediate supervisor roman to carry out the assembly activity of a brace length 460 i approximate weight 50 keg of weight structure of the no belt 2 said collaborator lift the brace and approach it to the installation point leaving one end on the ground and the other resting on the corner of its pedestal approximate height of 40 am after carrying out the planning of the work the injured person lift the end part that wa on the floor to turn and position it for assembly at that moment the other end fall generating the imprisonment of the finger of the left hand staff is taken to the medical center by the supervisor,IV
in the region of povoado vista martinopole ce the employee fabio de vera performed soil collection activity in the field together at the auxiliary mantel da silva and dialysis do nascimento when around when crossing a fence his glove wa attached to the wire and his body projected forward causing a slight twist of the left wrist the team traveled via the city of ganja and the employee wa referred to the hospital for consultation the doctor did not diagnose a fracture prescribing remedy for local pain and ice pack by medical evaluation the employee can carry out his activity normally,I
the falls when descending by ladder of sailor of 6 step fall to the floor going down of the her step falling on his back and hitting his head the worker used the chin strap of the helmet a safety element that reduced the injury from the blow he wa treated at the medical center with local treatment referred to the clinic for reevaluation,IV
being approx my denis made the mesh placed in a ventilation plug up a ladder while trying to do a wire tie suddenly had an imbalance due to the manipulation of tool falling from the third step propiciandose a blow in the right knee and a wound of her wrist in the right hand later he wa evacuated to the post where he received first aid,II
the employee report that upon initiating 615 rec front loading activity while performing the emulsion preparation for use there wa saw displacement of a small metal fragment from the ceiling reaching his left forearm,II
kitchen level 2900 dining area the collaborator finished washing table food container of dimension 52 am i 30 cm x 20 cm proceed to order them by pinking the thumb of the right hand in the corner of the aluminum tabula generating the lesion the employee at the time of the accident did not have safety glove,I
during the exchange of the shockbearing housing factory employee used a sledgehammer to hit the pipe before this stage of the activity the hammer hit the stepladder that wa very close coming to hand tool to be projected onto the left hand thumb which wa holding the piece,III
after the welder completed the welding work to cast the form in the deepening he walked towards the distant truck at about 40 it at which point the welder stepped on small fragment of rock of 5 am i ecm x ecm approx which generates that the foot flex and generates the injury in the worker,II
during the activity of chute of ore in hopper op the operator of the hopper park his equipment under the hopper to fill the first car it is at this moment that when it wa blowing out to release the load a mud flow suddenly appears revealing the presence of rock fragment the personnel that wa in the direction of the flow wa covered with mud,IV
at time when four mechanic performed the removal of a atm engine on a positive slope using a key and a terror at the time that the est welder tightened the key 12 keg of weight when pulling the chain the eyeball that makes the click on the roof of the work is broken transversely causing the fall of motor key hitting the helmet of the welder mechanic causing cervical contractor the mirror wa used during the activity a a second protection to prevent the engine from falling,IV
at times when four employee lowered a metal sheet 15mx18m i ekg towards the floor from a height of 20 am the assembly assistant doe not timely remove the hand trapping his ring finger between the iron and loose earth causing a contusion on his ring finger the collaborator at the time of planned event to use their maneuver glove,III
during the withdrawal of the metal form support screw in the inside of well 2 opening the bolt of the chain holder wa loosened the employee and a helper places force on the combination wrench when the bolt came to loosen immediately pressing the ring finger of the employee right hand against the support,III
at 1840 hour in moment when my claudio tipper operator readjusted the nut of the rear tire on the right side of his vehicle using a wheel wrench and a tube a an extension to generate greater force of torque which wa mr wilder held him in his back suffers a contusion in the wrist of the right hand a the extension to his partner coming from his hand,II
when entering the caustic soda containment basin then place the hose to make the suction at this stage there wa steam and striking the employee in the right and left calf,II
during the activity of vegetation of the entrance of the pit pit ii the employee hitting the sledgehammer on the rod for installation of the lifeline it hit his right leg in a slight exhortation,II
when performing the loosen rb10 equipment hammer repair the employee try to hold the suspender with the support of a pound rope from the moment of receiving the blow the brace or bolt cause a splinter to be released expelling and impacting on the lower left limb causing metal embedding in it the collaborator did not notice immediately,III
employee report that although performed an activity in the area of the ustulacion under the coordination of maintenance case he wa hit by dust from the ustulado causing irritation in the eye region,II
on december 13 the accessory coupling gun hose of the high pressure pump bap wa made to clean the register of the cooling tower g2172 carrying out the complete investigation they turn on the bap to assist with the start test at that moment the hose come off the gun and hit my emerson who wa holding the gun,II
witnesses report that when returning their anode to the easel the even bumped into the side of the easel coming to swing and hit his right shoulder causing bruise,III
happened during the maintenance of the bolter equipment the collaborator us a small hammer to be able to remove a link in the chain of advance the drilling machine in moment that hit on the side of the chain the partner hit the structure of the beam diverting the path of the hammer causing metal to strike his left hand,IV
the maid while walking past the electrolysis area stumbled and appeared next to the bathroom in room i,II
in circumstance that the operator performed the lifting of an inch italic pipe this is imprisoned in a structure of the railing of the truck instant that push the pipe using the right hand this return to it initial position hitting the middle finger of the employee causing a bruise,III
in performing the movement of the bar to make room and use a calibrated my chuquillanqui push the bar with both hand turning it being at that moment imprisoned the middle finger of the left hand against the other bar that wa ahead,IV
employee report that he performed soldering activity when he wa hit in the surrounding region by dust that is found in the thermal insulation causing irritation,II
at the end of the unleashing of saturated material on the ridge crest of bank 4318 the rugged taut rope to leave the work area tension at which moment loose material from the top of the soil crumbles height of am and stool of am projecting a fragment 6cmx2cmx1cm agr which rub the right cheek causing the injury at the time of the event the area wa isolated and the collaborator had all the epps corresponding to the activity,IV
at level 4150 geology surface master mine to temporarily repair water leakage from a inch diameter metal distributor make a cut of a rim chamber strip of ecm wide i 100cm long making using a cutter his partner stretch the camera when cutting with force the edge of the cutter make contact with the index foot of the left hand causing a superficial cut at the time if the event the worker wa wearing bos glove,III
my marcel withdrew something from the ajax oven using the metal spoon to empty it into the emptied waste container at that moment splash of slag residue impacting the face and generating a surface burn the worker wa wearing a face mask,II
employee report that when trying to remove one of the hands from the overflow system of the ustulador oven the ith finger of the right hand wa pressed between the tool wrench with extension and the overflow flange of the heating oven located behind the performer,IV
at 1340 hour my brothers wanting to climb on the starter tried to remove the fan stand on an unstable reel and when driving fell frontally at a height of 298m,V
being approximately alpha operator my ronald wa heading to mine when he decides to stop the equipment to move the light left side manipulating the support of the lighthouse catching his fifth finger of the right hand with the protection grid for support,IV
at 1340 hour my jose performed the erasing of the earthenware of section 30 when turning on the machine of alizado ironing of concrete this tour of imprisoning his left hand between the command of the equipment and the metal structure had an attraction in the back of the left hand,II
in the volvo workshop at same time of cutting steel plate thickness 1 in for the installation of the mta scoop lip with oxicorte equipment the injured feel a discomfort in both eye at the time of the accident the collaborator made use of his full pep but the soldering the lens did not make full adjustment for the presence of the respirator,IV
during the mechanized support activity in the level 7 taco when lifting the iron mesh on the platform of the scissor equipment the employee with a stumble feel a pain in the heel of the left foot,III
inside the preparation for the scaffolding tasks the employee wa loading the piece to the designated place where he had his finger pressed between the metal piece that were being moved,I
when making the change of support of the vertical pump of 6 40357 zinc two mechanic raised a beam in i 4 i 27 i and 45 keg one at each end this being at the height of the injured body knee slip from his hand causing the injury described,IV
at the deluminator stop untimely then it operator lower and lock the box to verify the failure detecting locking of the sheet between the basket and the manipulator the operator try to arrange the sheet manually and when pulling the sheet this one cut the palm of the right hand with the edge of the sheet is referred to the medical center for attention,III
employee performed withdrawal of electrical failure in the engine control drawer of the to 14 a after the check and exchange of fuse it closed the door of the truck and energized the drawer at this moment an arc wa came reaching the face and part of the employee forearm causing minor burn,IV
in circumstance where the worker hit the support of the drill beam advance cylinder you align the base of the beam with the hole of steel beam and place the bolt mechanical hammer slip and by inertia the mechanic hand hit the edge of the beam causing the injury at the time of the accident the employee had all the pie for this activity,III
at level 2995 access 7 scissor 187 performed the sustaining activity drilling earth drill to install the split when lifting the electrowelded mesh of 12 square meter am i am weight 21 keg approximately to the team platform the assistant slip and feel a pain in the inner edge of my right knee,III
the auxiliary of general physician i paulo e silva with 5 month and 10 day of work wa performing the activity of soil collection during the movement of equipment to the next point holding a lever it encountered a piece of sloping ground and with interlaced vegetation which caused the fall of the to the left the same side where the tool wa held the rapid fall prevented the employee from leaning causing a shock of the elbow with the ground again employee continued the activity for another 3 point of sample collection until he felt the arm bothering,IV
finding the reduction activity in the tube the employee attached the tube to the walrus and when he removed the tube with the hammer he untied the walrus by reaching his finger,II
about the activity of production of concrete block for the ventilation plug wall in the cx943 of level 3590 in circumstance that the worker made the setting of the union between concrete block a polyethylene pipe of 2 diameter wa pick up the spike and when it hit it hit the top of the worker protector,IV
at level 3450 taco area on after completing the drilling of drill for loading the operator remove the bit from the jumbo arm and walk towards the crew cabin from the crown of the work a fragment of rock that pass through the ends of the mesh of 3 and impact on it helmet and rebound hit the right shoulder of the operator generating the described injury,III
upon approaching the furnace that wa in the place of melting the in ingot it wa struck by liquid metal...,IV
during routine slimming activity of the kiln 8 of the battery 1 the employee began to remove the waste inside of crucible with the aid of a skimmer felt pain in his left shoulder,IV
at 1505 hour my cesar tellomoinsac wa carrying out the work of assembling the water line for that first climb up the cat house and at an approximate height of 25 meter he vanishes and fall hitting himself on the way being transferred to the medical center for his attention,IV
when manipulating material on the master drill truck the operator decide to make space by moving a radiator at that moment the driver of the truck is imprisoned the little finger during the left hand over the bar,III
employee engaged in the removal of material from the excavation of the well 2 of level 265 using shovel after placing it in the bucket during the day some of her material fell into the pipe of the employee boot and the friction between the boot and the calf caused a superficial injury to the leg,I
being in the 179th block of no 1880 ob 2 at the moment that mess and roger injured cleaned the with drill of the radial mesh that wa in an inclined shape in the right gable moment that detaches half of rock of 5x5x2 am impacting the shoulder,IV
employee wa transiting the gas area when he tried to slip suffering a twist in his left body,III
on 01242017 at during her activity of collecting soil the collaborator milton ran into a branch and wa attacked by maribondos he wa bitten twice in the head no pain swelling and this allergic symptom continued with their activity,I
during the process of loading drill in the carmen pit of level 3450 the operator position the basket of the anfo loader 186 equipment at a height of am from the floor to carry out the loading of the production drill at this moment a stone slab of 14x07x02 i is detached from the front of the pit which is tilted and lodged inside the basket attached to right leg of the collaborator,V
being 0010 am at time when the collaborator wa passing a tube pic pipe to the loader to uncover the fifth hole that wa obstructed by a piece of rock the operator of the ethanol accidentally activates the air valve causing the loading pipe that wa in the floor to rise suddenly throwing peril of anfo excess oxygen pipe entering the cheekbone and eyelid of the right eye of the victim,III
in circumstance that the tipper mva of the ee mesa moved of the no 3120 to nv 3300 the operator see a congestion of equipment in front of his unit in the ramp 990 at the distance of 80 meter of access to the nv 3300 which is why he decides to get off the cab by turning off his vehicle when suddenly he slide off the second rung that is 070 meters from the ground hitting the right forearm region against the fender and the same rung,III
at the moment of entering through the mouth of tunnel 3600 the employee move on the left side of the locomotive became locomotive of personnel transfer that passenger stationed at the entrance of the mouth without noticing the protruding abutment of said locomotive at the bottom hitting his right knee with the metal stirrup it should be noted that the operator continued his duty during the watch without reporting what happened at the extraction supervisor upon noticing the discomfort of his partner in the knee immediately evacuated him to nascar after reporting to the control center,III
during the assembly activity the polypropylene pipe with 4 hands the employee stepped on the pipe flange it twisted his right foot,III
upon entering the mine interior the bodeguero is located only in the litorina i 13 last of the convoy during it displacement the vehicle derails and advance approximately 15 meter it is when the diver observes this event and before entering through the entrance gate paralyzes the displacement of the convoy the winemaker had his full epps on,IV
on 01022017 at when performing the soil activity the collaborator alex used a pickaxe to insert in the opening of the collection hole a he struck the ferrante on the ground he had a fragment of rock projected on his forehead causing a small cut the activity wa paralyzed for a few moment and it wa not ready to go to the doctor the employee continued the activity normally,II
employee wa performing drilling activity with the lma probe at level 585 gas and when positioning the needle stem came to hit the left hand index finger against the retraction and causing superficial injury,III
on 05022017 at when performing geological mapping activity the geologist mantel da silva accompanied by the geologist luciano do santos and dame had to make the crossing to the other side of a fence barbed wire known in the region a a goat it is a fence that from the base up to about ecm in height is made by rod interlaced horizontally and upwards made with little barbed wire barbed around 15 to ecm i jumped on the fence and still on a fence i managed to sweep the vegetation with the left foot but even so while supporting the foot on the ground a stump of approximately ecm i ecm came into break the sole of the boot and because the perforation in the left foot at the height of the finger,II
the collaborator completed the misalignment of the nut on the left side to the chute scraper of strip no 92 when he get up he turn and hit the head guard with the railing hitting the lens caused the injury,II
in level 2900 op 5 the worker performed the chute ore from the hopper to the second car perceived a slip of rock and being through the hopper decided to leave the platform and when he wa already down the second rung of the ladder of access the water increase and a fragment of rock slide and hit the back of the worker causing it to fall and hit the right forearm and left knee,V
being 1220 hour approximately in circumstance that the administrative stomach wa arranged to move the guillotine of the right side towards the center of the table to make cut of enmicadas page when trying to raise the guillotine the middle finger of the right hand it rub against the edge of the guillotine blade causing the cut in inner yolk of the third body of the right hand,IV
for the preparation for the office cleaning activity the employee made use of the stair railing it had contact with this clamp used to lock the signaling board,II
during the activity for packaging more cylindrical piece on the easel the employee carried the piece to the designated place where he had his finger pressed between the metal piece that were then moved,I
the injured collaborator thought one of his colleague wanted to move a rim of a scoop tire for which using their own strength first threw the rim to the floor to make it roll and in that instant the eyelash hit the fifth finger of the right hand against the ring producing the injury,III
when averaging the operator daniel removed cleaning accessory under the mobile channel of line 01 for which he supported his left hand on the rail that wa in motion at that moment the crushing in the and finger of the left hand occurs the injury occurs the collaborator is referred by the medical for care,III
the spillway is where the worker wa cleaning with just use of an absorbent cloth oil residue from the right edge of the atlas axs186 compressor with the bonnet open and in functioning the rag fall inside the compressor and in the attempt to remove it it is hooked on the fan propeller pulling the worker left hand toward the propeller causing the injury,V
performing carpentry work the collaborator hit the second finger of the left hand with the hammer which he held with his right hand causing a bruise below the height of the nail the next wa carried out at the medical center of the unit the final diagnosis being contusion on the finger,I
while preparing to mount polypropylene tubing another employee pulled the pickup from the truck and positioned it in for pressing the finger between the tube and the concrete wall,III
during the maintenance of the peristaltic pump 02bp0166 to change the internal hose the rupture tubing of the reserve pump 02bp0167 injured after it started to operate designing solution heated during the employee reaching his left forearm causing irritation in the skin,IV
during the maintenance of the peristaltic pump begins to change the internal hose the rupture tubing of that reserve pump 02bp0167 wa disrupted after it started to operate designing solution heated towards the employee reaching his left forearm causing a burn,IV
in chassis no 3370 ex 212 south when the mechanic loosens a through bolt of the intermediate vardan protector of the dumper 01 the protector is released and imprisons the first finger of the left hand against the connector of the hydraulic steering cylinder class 2,V
on 02152017 at when performing the magnetometric using gas the collaborator antonio bumped the top of the field hat on a branch and wa attacked by maribondos he wa bitten behind the ear and another on the neck but he continued to activity because he felt no pain or swelling,I
by averaging at the office of amani lilian prepares to store folder in the warehouse to go to one place it come out of the ilu when going down the two step it doe so diagonally so it sits the left foot on the edge of the second step causing the foot to bend left inward it stabilizes quickly avoiding falling on the ground,II
the action of extracting the bolt of the chuck of rotation unit vid 01 in the instant that is made hit with the rope of plus the base of the support bolt a fragment of the metal structure is projected impacting the face of the mechanic freddy the brain injury,III
once the painting of the pumping pipe ha been completed the person involved involuntarily touch his face with his hand with glove full of paint and to clean himself he make use of a dry industrial cloth and begin to rub his face for a period of time from 30 to 40 second continuously until finally the paint on the face becomes visible this friction generates the described injury,III
at the conclusion of the unloading of ore with the amp819 plate tipper in the pit 01 the driver notice that a stretch of support mesh is stuck in the hopper hatch then the driver get off his equipment with the hopper lifted to remove with his hand this mesh when generating force fine particle of rock fall and one of them is impregnated in the eye of the drivers at the time of the incident the injured person used his measuring glass they did not have any surcharge,IV
my walter wa putting his tool in the hopper of the atlas truck that wa parked on the cruise 320 of level 1850 bomb then my miners operation van arrived driven by engineer parked behind the truck of atlas to approximately 3 meter and without having placed the safety block went to request the data of the drilling later the assistant of the simba 04 opened the gate dropping the bit into the hopper of the mine truck and untimely the vehicle he moved forward pinning the mechanic right leg,IV
during night transport of piece of wood with the aid of a wheelbarrow the employee felt a prick in the right leg at that moment stopped the activity removed the legging and when shaking the pant like that it wa a small scorpion,III
during the mining cycle at the chimney 410 before starting with the drilling work to anchor the lane of the animal system the collaborator squat to pick up a manual tool that pushes on the platform such is at this moment that the jackleg team loses it position and project towards the back of the collaborator generating the injury,IV
in use support process in circumstance that the assistant performs the last cut in 4 transverse length of the mesh the mesh generates a movement towards the operator and hit the face causing the described injury,III
on 02252017 at 1 when assisting with gas in the magnetometric collaborator gilvanio bumped the top of the field hat on another branch and wa attacked by maribondos the moth went towards his eye but due to the use of sunglass the attack in that region wa prevented the insect moved to the side of the face getting caught between the ear and the back of the field hat making the helper get two bite behind the ear gilvanio is allergic to marimbondos bite soon the activity wa immediately paralyzed we drove to the car where the accident took his medicine antiallergic already used in other situation out of work indicated by another doctor to avoid further examination marcel responsible for the project wa also on the field in the mapping activity wa called on the radio immediately the assistant felt good but wa taken to the emergency of the hospital of lavrans do sul where he consulted the doctor took antiallergic and wa released around 1520,I
in moment when the staff of the improve company wa heading towards the 447 pique to support shotcrete casting job one of these drivers doe not identify a lane and water in the road so his right leg enters the gutter of 08 i depth causing the injury the service of the litorina wa paralyzed for the entrance of this personnel,III
the employee wa descending the ladder after inspection of the milling cyclone which give access to the floor behind the mill 10 by platform iscmg26 when the floor gave over and is fell from a height of approximately 1 meter and 70 meter there is material ore below the platform decreasing the height of the fall impact,IV
in the area of lloclla 50 meter from the substation no 4 under circumstance with the worker wa preparing to pick up the rope from the floor several fragment like rock slide down the slope of the hill one of the 5 am fragment of diameter approximately impact the face of the worker producing the aforementioned injury,IV
when performing cleaning activity of the area near the 042tc06 grinding the employee wa ft a lump of triangular shaped rock measuring i ecm i i ecm x e ecm during the movement he lost his balance by falling with the rock on the thumb of his left hand injuring him,IV
when carrying out refractory brick chopping activity in order to place the support of the bus pole in section 70 a particle is detached hitting the assistant right arm that wa one meter away from the work area provoking him a wound in the arm wa treated at the medical center and return to his usual duty,I
on 020317 during the soil sampling in the region of sta the employee rafael and vanilla da silva were attacked by a bee test they rushed away from the place but the employee rafael took 4 bite one on the chin one on the chest one on the neck and one on the hand over the glove the employee took 4 bite one in his hand over his glove and the other in the head and the employee danillo took 2 bite in the left arm over his uniform and first no one sketched allergy just swelling at the sting site the activity wa stopped to evaluate the site after verifying that the workers had remained in the line they left the site,I
the employee who wa hitchhiking on the cop 403 truck equipment he crossed the central anterior of the track to catch the key of the wheel loader with another operator who wa stopped in the opposite direction upon returning to the shed it wa hit in the arm left by the loader tire that wa traveling along the road and passed the man on the right,V
being approx when the collaborator my duval sampler successfully managed to change and remove the bucket from the pulp sample of the plant courier he slipped and fell to the ground supporting himself with the right hand generating the lesion described,III
key 08032017 at when performing mag activity the employee mario da silva when moving in the acquisition line came across a small drainage approximately ecm wide with small gap a he traversed the drainage the employee rested his right foot on the ravine that came to rest causing the right ankle to twist soon after the twisting the activity were paralyzed and the employee wa taken to the local hospital where an xray wa taken and an examination made by the physician no serious injury wa found without a small swelling then released to normal activity,I
at level 3970 before 100 when the fam 801 license plate went from level 3570 to surface when the pilot trying to answer his radio to answer some call from the concrete plant is distracted and crash his vehicle against the left gable and the vehicle turn to the right side when this happens the copilot hit his right hand against a fragment of broken glass in the window on the right side of the vehicle,V
when the scoop wa heading from am 910 to the cutoff point of the cro 861 south to be unloaded it visualizes a truck that wa parked with the light and the fuse ignited inside the thrust where the scoop found accumulating dismount the operator stop the scoop and get off to tell the driver of the truck to leave and when he find no one he decides to go and look for the driver at the top of cro 861 south where he can not find it then he return to his scoop and at 15 to 20 meter visualizes the light of a lamp shining in the direction of the gable when approaching he find the deceased lying on the side of the scoop and proceeds to give immediate notice to the supervisory of the shift control center and emergency center,V
employee wa performing maintenance on filter press in the filtration area gas when he dismantled the hose and in a turning motion he had contact with the burr of the tip of one of the screw that wa exposed above him a cut in his glove and wound in the ord quirodactilo of the left hand,III
in the no 2930 chamber of accumulation of aggregate glass the worker made the cast out shotcrete towards the crown of the work at he perceives discomfort and fogging of the full face then decides to take it off and chooses to use only his safety glass for comfort to continue with the thrown shotcrete at suffers the projection of shotcrete rebound particle in the left eye,IV
team of team vos project performed soil collection on the fix target with 3 member when the team were moving from one collection point to another my fabio wa ahead of the team stinging behind robson and mantel da silva near the collection point were surprised by a swarm or bee that wa inside a i play near the ground with no visibility in the wood and no hissing noise fabio passed by the stump but robson and manoel da silva were attacked by the bee robson had a sting in his left arm over his uniform and manoel da silva had a prick in his lip a his screen ripped a he tangled in the branch during the escape,I
during the preparation for the solubilization activity of the sample in the chapel the maid when moving the vial of nitric acid the same detached from the loser causing projection in the region of the neck against upper limb,IV
during the activity of changing conveyor belt job feeding the primary mill no 2 the mechanic for the discharge chute 075 i 075 x 080 i to clean the material at which time the automatic sampler 030 x 025 m that wa inside the chute wa activated trapping the mechanic at the height of the chest at the time of the accident the mechanic wa alone in the work because,V
being approximately 2057 hour of 03222017 during the change of cable between the z332 power cell locked cabinet and the z014 transformer there is a loud noise followed by an oscillation of the electrical system at that moment the collaborator quench of the company essa is found on his floor with his head inside an energy cell z132 cabinet not blocked where he wa not assigned to do any work after having received an electric shock,V
when the mixer 01 of the ecm incimmet sa moved by the positive south ramp with direction to surface union concrete plant at the height of the 3630 before 440 the operator observes that untimely light and the engine go off the control control don't respond and the equipment start to reverse at 3 meter the operator jump out of the cabin again at 20 meter the team hit the right gable and turn to it immediately left in the area in the circumstance of the event there wa no presence of personnel or equipment that could have been affected,V
the technician wa doing the magnetometric survey when he stepped on a thorn his reaction wa to immediately retreat losing his balance and so the magnetometer was off,I
employee report that he assisted during maintenance activity in tower 09 in electrolysis when he stepped on the grip grid polymer with glass the floor moving against it to fall the event took place in 3 stage 1 displacement and fall of the floor in the span when receiving the effort 2 employee fall to about 160m below the grp floor on the side of the gutter below the floor supporting the structure 3 employee fall to the lower level about 235m below the grp floor,IV
employee report that he wa saw an activity in the undulation near the ball when a projection of hot humped dust from the upper floor reached his cervical neck region as a first degree burn,III
employee performed the task of hoisting bigwig and well oxide and after performing several hoisting the employee suffered a lowvoltage electric shock trauma contacting the hoist when attaching the handle of a zigzag on it,IV
employee looked toward the structure of post 10 when it came to step on false suffering twisting in the left ankle,III
on 04042017 around 13 oohs during the current sediment activity potential collaborator barley took a bee sting in the neck the same wa using the internet but the bee entered the bottom of the screen after the sting the team decided to leave the workplace due to the presence of other bee the collaborator had no reaction and continued to work normally,I
the industrial cleaning worker cristian wa performing the cleaning activity of the gutter striking with a wall of the same to remove the solid solution that is formed in that at the moment the operator hand slide and impact on the edge of the gutter causing a blow on the little heel of the left because,II
at level 3790 formerly level 280 the hydraulic filling personnel performed the installation of 4 diameter hope pipe through the ventilation chimney with the advantage of a yard scooptram that held and pushed the end the the pipe pipe 100 meter in length at that moment the pipe get stuck on the edge of the chimney causing the pipe to form an arc at the height where the injured worker wa who signal with the light of his lamp to the operator of the scooptram to stop and when trying to retire from the line of fire the worker loses balance by light contact with the pipe causing fall at the same level,IV
employee to perform painting of the floor of the fuel tank area he needed cleaning and by pouring waterthinner on the floor the bucket slipped out off his hand and the mixture projected onto his left shoulder and outer lip causing redness and burning,II
during he execution of the soil sampling task at the potion area around luis wa wa opening with a machete and wa bitten by a wasp on the back of his right hand the same wa using at the time of the incident all the epi needed for activity the employee wa evaluated by the technician who found it to be a mild and localized swelling wound the employee reported that wa did not feel any pain and that he could continue the activity,I
in the tower i 6 of the old 50 ke it disabled and reenergized and 90 dismantled located in the city of paso the last profile of the base of the tower previously disassembled were cut using offuel equipment at the proingcom security supervisor and the foreman who were on the outside of the fenced area supervising of activity indicate the stoppage of activity and evacuation to the refuge due to the orange alert indicated on the detector thunder storm during the evacuation of the last 02 employee who were inside the fenced area a loud sound wa heard provoking a fright which caused the staff to throw themselves to the floor inside the area then proceeded to leave the work area by his own mean through the ladder apparently the loud sound would correspond to an electrical discharge in the cable guard that pass over the old tower,IV
in tower i 6 of the old 50 ke it disabled and reenergized and 90 disassembled located in the city of paso the cutting of the last profile of the base of the tower previously disassembled wa carried out using offuel equipment at the safety supervisor of proingcom and the foreman they were in the external part of the fenced area supervising the activity indicate the paralysis of activity and evacuation to the refuge due to the orange alert indicated on the detector of storm during the evacuation of the last 02 employee who were inside the fenced area a loud sound wa heard provoking a scare which caused the staff to throw themselves to the floor within the area then proceeded to leave the work area by their own mean through the staircase apparently the loud sound would correspond to an electrical discharge in the cable guard that pass over those old tower,IV
at the end of the concerning activity the employee turned off the concrete and when rolling the handle to delay the return of a equipment warehouse the same bumped the tip of the mandate in the inferior lip causing hematoma,II
during the marking of the management point the supervision and the breeder enter the work to carry out the ventilation inspection for which the surveying work stop to turn on the fan and proceed with the air flow measurement when the fan becomes turned on due to pressure it break the fastening edge of the toe and the sleeve fall to the floor generating a chicoteo from gable to gable product of the chicoteo a fragment of the aggregate of the secrete is projected on the face of the injured person producing the injury,II
during the execution of the service of opening of pricked for the future work of ip around 1530 the employee pedro second in the line of the equipment wa stung by a wasp in the right portion of the neck the beetle body of small size wa not seen by the employee in the bite causing the employee shock against the insect that were manifested the employee used all the pipe required for the activity to be developed the bite occurred over the collar of the shirt and over the face of the technician responsible for performing the work evaluated the sting and together with the injured employee found that because it wa a localized swelling and that there wa no allergy there would be no need to paralyze the activity which it followed normally,I
in moment that my william carried out the inspection of the cut of the block 781 level 1850 oba so that the mine platform could be realized in instant that observed the drill positive radial one that were broken and shotcreteados he hears a noise from the upper part of the pit detachment of bank at the center of the pit to which mr william go back to leave work but his metatarsal boot make contact with a rock that wa on the floor which cause it to lose balance and stumble on the gable,III
on 04192017 the employee de lima da silva wa composing the team of opening of bite to survey of ip the team consisted of one mining technician and three assistant when wa moving in the bite he touched his left foot on a stump of grass that wa on the ground covered with dry leaf of vegetation near drainage when he felt the thorn piercing on his foot he told the mining technician what had happened and the teammate removed the thorn that pierced the top of the boot after removal of the spine the foot wa washed and it wa verified that there wa no other injury after the event the technician waxed the activity and returned to the city of porangatu go it wa not necessary but take the employee to the health unit,IV
approx my victor at assembly moment he made a visual inspection of scaffolding suffered a slight blow to the level of the right ear with the metallic extension of the chute of the conveyor chain,II
during the execution of the soil sampling task in the potion area around pablo wa moving on the bite and wa bitten by a right elbow wasp over the sleeve uniform he wa using about the time of the incident all the pie needed for the activity the employee wa evaluated by the team who found it to be a minor injury with localized swelling the employee reported that he did not feel any pain and that he could continue the activity,I
activity front sanitation slaughter of choco with smaller local underground mine level 350 front sanitary upper aka the operator performed front sanitation when a rock block from the roof hit the equipment the accident victim is promptly rescued by the unit emergency brigade and transported to the outpatient clinic where he received the first care and wa then transferred to the municipal of maracatu,V
performing the cleaning of material mineral that accumulates between the steel plate and the concrete base on which it rest a shown in the photograph steel plate thickness 12 in in order to complete this cleaning the worker decide to weld on the steel plate a support eyelet type and at the other end a a fixed point and fastening a pin helical support in such a way to lift the plate with the help of a key and remove all the accumulated material in the instant that they were finished the chain of the tesla the injured one had his left hand resting on the concrete wall keeping line of fire product of the tension exerted by the tele the helical bolt break and the chain lash on the index finger generating the injury at the time of the accident the accident victim used all his epps including his glove,IV
in circumstance that my refrain osario felix mina and he entered the interior of pocket 2 at level 2865 before lighting it activated the compressed air gun that is installed in the lower part of that structure with a nozzle that communicates the air lung with the internal part of the pocket projecting a violent flow of air that blow the left leg of the worker and generates a stun by the noise produced,V
the employee report that he performed his routine activity in to foundry area when it wa necessary to fit the last zajac ingot of one of the package at this point the ingot slipped and hit the back of his right foot causing pain the safety footwear worn by the employee ha a steel sole and a metatarsal protector,II
the employee used a lever to remove the sealing ring from the front tire of the wheel loader led 05 when the lever came to stray from the fulcrum in the ring and press the left ring finger against the loader she will causing traumatism at the bottom of the said finger,III
the employee report that he performed his routine activity in the area of electrolysis when when moving to position one of the cathode sheet on the easel it hit his sleeve and caused a cut in the same and superficially in the left ॥,II
employee wa engaged in adjusting metallic shape using a tether and observes the shape the tether cable strikes the lifeline projecting it hand into the metal structure of the shape causing a superficial injury to the ring finger of the right hand,II
in circumstance involving the staff wa performing the rhyming of caving he the 15 i 3 pipe wa suspended approximately 5 am from the floor the assistant placed the stillson key no 36 on the hw pipe to fit the pipe at a height of 10 cm from the base of the rod holder which the operator operates the chuck to slide this back causing the pipe to slide causing the tip of the fourth finger of the assistant right hand to be caught between the stilson key and the base of the rod holder at the time of the event the collaborator used all his epps,IV
the duo mario and sergio performed the pump pipe clearing activity fz10314 and during the removal of the suction spool flange bolt there wa projection of pulp over pipe causing injury,V
